pattern_idx,direction,entry_px,exit_px,ret,pnl,equity_after
0,-1,68127.4,67912.1,0.003160255638700264,31.60255638700264,10031.602556387003
1,-1,70650.0,70090.1,0.00792498230714783,79.50027277170594,10111.102829158708
2,1,64721.1,65984.9,0.01952686218250301,197.43811145809838,10308.540940616807
3,-1,70514.7,70631.9,-0.0016620647893275742,-17.133462926740947,10291.407477690067
4,-1,65144.2,64456.0,0.01056425591226843,108.72106229175083,10400.128539981817
5,-1,70540.5,69968.2,0.008113069796783449,84.37696874039203,10484.50550872221
6,1,64460.3,65752.3,0.020043344508170143,210.14455590912692,10694.650064631336
7,-1,65158.0,64810.5,0.005333190091776911,57.03660175971315,10751.68666639105
8,-1,70267.0,70033.5,0.003323039264519618,35.72827695222949,10787.41494334328
9,-1,65348.9,65158.0,0.002921242744713399,31.51265763745446,10818.927600980734
10,1,67799.3,68760.1,0.014171237756142067,153.3175952999857,10972.24519628072
11,-1,67380.1,66633.8,0.011075970501676352,121.52826413116533,11093.773460411887
12,-1,67455.2,68087.2,-0.009369181323307914,-103.93957511030005,10989.833885301587
13,1,69220.6,70177.4,0.013822474812411166,151.9067020721639,11141.74058737375
14,1,65064.6,65789.2,0.01113662421654784,124.08137803984046,11265.82196541359
15,-1,68146.1,67814.5,0.004866015810149162,54.819667798028235,11320.641633211619
16,1,68209.6,68717.9,0.007452030212755804,84.3617634784742,11405.003396690094
17,1,68779.0,68998.9,0.0031971968187963504,36.46404057825914,11441.467437268353
18,-1,64903.1,64865.6,0.0005777844201586673,6.6107016290063685,11448.07813889736
19,1,69780.9,70517.2,0.01055159793009266,120.79551759392841,11568.873656491287
20,1,68951.4,69008.3,0.0008252189223135242,9.54685345119106,11578.420509942478
21,-1,68058.8,67787.3,0.003989197576213509,46.18860703464332,11624.60911697712
